1;1;600;1;0;0;5;伤害减免
1;2;600;1;0;0;5;防御力
1;3;600;1;0;0;5;抵抗力
1;4;600;1;0;0;5;最大生命值 (+)
1;5;600;1;0;0;5;力量，魔法力 (+)
1;6;600;1;0;0;5;固定伤害
1;7;600;1;0;0;5;怪物额外伤害
1;8;600;1;0;0;5;精锐额外伤害
1;9;600;1;0;0;5;全属性 (+)
1;10;300;3;0;0;10;最大伤害
1;11;300;3;0;0;10;最小伤害
1;12;300;3;0;0;10;暴击伤害
1;13;60;3;0;0;10;贯穿
1;14;100;3;0;0;30;最大生命值%
1;15;300;3;0;0;10;武器属性力 (+)
1;16;60;3;0;0;15;冷却时间减少
1;17;300;3;0;0;10;普通怪物支配力 
1;18;300;3;0;0;10;精锐怪物支配力 
2;19;90;1;0;0;15;全属性 (-)   防御力% (+)
2;20;80;3;0;0;40;最小伤害 (-) 最大伤害 (+)
2;21;60;5;0;0;50;暴击率 (-) 暴击伤害 (+)
2;22;120;3;0;0;15;幸运 (-) 怪物额外伤害 (+)
2;23;120;3;0;0;15;体力 (-) 精锐怪物额外伤害 (+)
2;24;15;3;0;0;50;贯穿 (-) 伤害减免% (+)
3;25;60;2;2;0;50;力量 , 魔法力%
3;26;60;2;2;0;50;全属性%
3;27;40;2;2;0;50;暴击率
3;28;15;2;5;0;100;最终最大伤害
3;29;15;2;5;0;100;最终最小伤害
3;30;15;2;5;0;100;最终暴击伤害
3;31;10;2;5;0;100;伤害减少%
3;32;20;2;2;0;50;武器属性力%
3;33;40;3;0;0;50;固定伤害%
3;34;10;10;10;1900;100;超级武器属性力%
