1418;现在进入聊天室吗?
10001;战士：\n 以攻击为主成长，威风无比战神一样的人物。
10002;盾卫：\n 以体力为主成长，团队不可缺少的领袖型人物。
10003;法师：\n 可唯一能使用魔法的智慧型人物，努力成长为神一样的圣魔导师。
10004;游侠：\n 将修炼多种辅助技能，缺少游侠的队伍将暗淡无光。
10005; 
10006;
10013;工程师:\n 熟练的工程师，将自己的工具箱自由运用在战斗中.
10033;术士:\n 与恶魔达成契约,借助恶魔之力的职业.
10046;卡牌师:\n 该职业可运用多种方法，把具备神秘力量的卡牌的威力发挥出来，将战斗引向对自己有利的方向。
10053;流浪剑客：\n 运用影子的力量，使用灯笼和太刀进行攻击战斗的高伤害物攻职业。
10065;精英盾卫：\n 刚毅的战士，不断的追求着攻击与防御的完美结合。
10066;精英工程师：\n 创造大师，用工具造就强大的武器。
10073;贤者:\n 从神圣大陆降临世间,拥有光明之力的职业.
10077;黑暗战士:\n 从神圣大陆降临世间,使用黑暗之力的职业.
10081;傀儡师:\n 利用高科技的操控板，精确操纵强大傀儡战斗的新新人类.
20000; %d级
20001;战士
20002;盾卫
20003;法师
20004;游侠
20005;督军
20006;狂战士
20007;圣殿骑士
20008;武术家
20009;魔法师
20010;吉他手
20011;神射手
20012;火枪手
20013;工程师
20014;机甲师
20015;龙战士
20016;狂神
20017;辉煌骑士
20018;护法武僧
20019;元素祭祀
20020;吟游诗人
20021;追影猎人
20022;裁决者
20023;高能机甲师
20024;圣十字军
20025;剑刃舞者
20026;恐怖骑士
20027;修行武者
20028;幻灵师
20029;演奏大师
20030;刺杀者
20031;审判官
20032;星能机师
20033;术士
20034;通灵师
20035;恶魔领主
20036;英雄
20037;剑圣
20038;星芒骑士
20039;武道宗师
20040;元素之灵
20041;巨星
20042;风行刺客
20043;魔射手
20044;远古机甲师
20045;通灵领主
20046;卡牌师
20047;高阶卡牌师
20048;神圣卡牌师
20049;天穹卡牌师
20050;黑暗卡牌师
20051;暗影卡牌师
20052;史诗卡牌师
20053;流浪剑客
20054;武士
20055;黑狼
20056;黑影
20057;修道士
20058;圣执事
20059;修罗
20060;神之使者
20061;战锤佣兵
20062;焰之勇者
20063;熔岩领主
20064;阿格尼
20165;精英盾卫
20166;精英工程师
20167;盾卫统领
20168;机甲斗士
20169;神佑盾卫
20170;机甲战神
20173;贤者
20174;光明祭司
20175;神圣使者
20176;守护天使
20177;黑暗战士
20178;黑暗剑客
20179;梦魇骑士
20180;梦魇恶魔
20181;傀儡师
20182;傀儡专家
20183;傀儡大师
20184;傀儡宗师
20185;梦境探索者
20191;梦境战士
20192;梦境盾卫
20193;梦境法师
20194;梦境游侠
20195;梦噬战士
