1;1;1;1500;1;0;0;5;伤害减免
1;1;2;1500;1;0;0;5;防御力
1;1;3;1500;1;0;0;5;抵抗力
1;1;4;1500;1;0;0;5;最大生命值 (+)
1;1;5;1500;1;0;0;5;力量，魔法力 (+)
1;1;6;1500;1;0;0;5;固定伤害
1;1;7;1500;1;0;0;5;怪物额外伤害
1;1;8;1500;1;0;0;5;精锐额外伤害
1;1;9;1500;1;0;0;5;全属性 (+)
1;1;10;1000;3;0;0;10;最大伤害
1;1;11;1000;3;0;0;10;最小伤害
1;1;12;1000;3;0;0;10;暴击伤害
1;1;13;400;3;0;0;10;贯穿
1;1;14;300;3;0;0;30;最大生命值%
1;1;15;1000;3;0;0;10;攻击力/属性力 (+)
1;1;16;80;3;0;0;15;冷却时间减少
1;1;17;700;3;0;0;10;普通怪物支配力 
1;1;18;700;3;0;0;10;精锐怪物支配力 
1;2;19;90;1;0;0;15;全属性 (-) 防御力% (+)
1;2;20;250;3;0;0;40;最小伤害 (-) 最大伤害 (+)
1;2;21;200;5;0;0;50;暴击率 (-) 暴击伤害 (+)
1;2;22;600;3;0;0;15;幸运 (-) 普通怪物伤害 (+)
1;2;23;600;3;0;0;15;体力 (-) 精锐怪物伤害 (+)
1;2;24;15;3;0;0;50;贯穿 (-) 最终减伤% (+)
1;3;25;150;2;2;0;50;力量/魔法力%
1;3;26;150;2;2;0;50;全属性%
1;3;27;100;2;2;0;50;暴击率
1;3;28;40;2;5;0;100;最终最大伤害
1;3;29;40;2;5;0;100;最终最小伤害
1;3;30;40;2;5;0;100;最终暴击伤害
1;3;31;10;2;5;0;100;最终减伤%
1;3;32;20;2;2;0;50;攻击力/属性力%
1;3;33;150;3;0;0;50;固定伤害%
1;3;34;50;10;10;1900;100;超级攻击力/属性力%
2;4;35;200;1;0;0;0;伤害减免 I
2;4;36;200;2;0;0;0;伤害减免 II
2;4;37;500;1;0;0;0;最大生命值 I
2;4;38;500;2;0;0;0;最大生命值 II
2;4;39;500;1;0;0;0;力量/魔法力 I
2;4;40;500;2;0;0;0;力量/魔法力 II
2;4;41;500;1;0;0;0;全属性 I
2;4;42;500;2;0;0;0;全属性 II
2;4;43;200;3;0;0;0;攻击力/属性力 I
2;4;44;200;6;0;0;0;攻击力/属性力 II
2;4;45;500;1;0;0;0;固定伤害 I
2;4;46;500;2;0;0;0;固定伤害 II
2;4;47;500;1;0;0;0;普通怪物伤害 I
2;4;48;500;2;0;0;0;普通怪物伤害 II
2;4;49;500;1;0;0;0;精锐怪物伤害 I
2;4;50;500;2;0;0;0;精锐怪物伤害 II
2;4;51;500;3;0;0;0;最小伤害
2;4;52;500;3;0;0;0;最大伤害
2;4;53;500;3;0;0;0;暴击伤害
2;4;54;50;2;2;0;0;背击伤害
2;4;55;10;3;3;0;0;普通怪物伤害（%）
2;4;56;10;3;3;0;0;精锐怪物伤害（%）
2;4;57;200;3;0;0;0;贯穿
2;4;58;20;1;1;0;0;移动速度
2;4;59;30;2;2;0;0;冷却时间减少
3;5;60;100;1;0;0;0;力量/魔法力 -\n伤害减免（+）+
3;5;61;100;1;0;0;0;幸运-\n体力+
3;5;62;100;1;0;0;0;体力-\n力量/魔法力+
3;5;63;10;4;0;0;0;命中率-\n贯穿+
3;5;64;200;1;0;0;0;防御力-\n固定伤害+
3;5;65;50;2;0;0;0;防御力/魔法抵抗力-\n攻击力/属性力+
3;5;66;40;2;0;0;0;魔法抵抗力-\n力量/魔法力+
3;5;67;40;2;0;0;0;全属性-\n最大生命值+
3;5;68;10;5;0;0;0;移动速度-\n攻击力/属性力（%）+
3;5;69;15;3;0;0;0;暴击率-\n最大生命值（%）+
3;5;70;100;3;0;0;0;最大生命值-\n最小伤害+
3;5;71;15;3;0;0;0;最大生命值（%）-\n最大伤害+
3;5;72;10;5;0;0;0;伤害减少（%）-\n暴击伤害+
3;5;73;30;5;0;0;0;普通怪物支配力-\n最小伤害+
3;5;74;30;5;0;0;0;精锐怪物支配力-\n最大伤害+
4;6;75;7;1;0;0;0;最大生命值(%)
4;6;76;7;1;0;0;0;力量（%）\n魔法力（%）
4;6;77;7;1;0;0;0;固定伤害（%）
4;6;78;10;1;0;0;0;全属性（%）
4;6;79;10;1;0;0;0;攻击力/属性力（%）
4;6;80;10;1;0;0;0;普通怪物支配力 
4;6;81;10;1;0;0;0;精锐怪物支配力 
4;6;82;5;2;1;0;0;最终最小伤害
4;6;83;5;2;1;0;0;最终最大伤害
4;6;84;5;2;1;0;0;最终暴击伤害
4;6;85;5;2;1;0;0;力量/魔法力效率
4;6;86;2;5;5;0;0;技能目标数
4;6;87;3;1;1;0;0;全属性(+)
